file,line,category,severity,issue,suggestion,example
backend/app/__init__.py,66,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"jk = str(app.config.get(""JWT_SECRET_KEY"") or """")"
backend/app/__init__.py,68,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"raise RuntimeError(""JWT_SECRET_KEY must be set in production"")"
backend/app/config.py,20,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"SECRET_KEY = os.getenv('SECRET_KEY', 'dev-secret-key-change-me-please-32bytes')  # 应用密钥"
backend/app/config.py,22,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"JWT_SECRET_KEY = os.getenv('JWT_SECRET_KEY', 'dev-jwt-secret-key-change-me-please-32bytes')  # JWT 签名密钥"
backend/app/utils/distributed_lock.py,32,安全漏洞,高,危险执行（eval/exec）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return bool(self.redis.eval(lua, 1, key, token))"
backend/tools/seed_api_test_data.py,20,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"admin_password = ""Passw0rd!test"""
backend/tools/seed_api_test_data.py,21,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"user_password = ""Passw0rd!test"""
frontend/src/views/UserCenter.vue,1350,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,pwdForm.old_password = ''
frontend/src/views/UserCenter.vue,1351,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,pwdForm.new_password = ''
frontend/src/views/UserCenter.vue,1352,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,pwdForm.confirm_password = ''
tools/code-review/run_code_review.py,211,安全漏洞,高,疑似硬编码密钥/口令,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"(""安全漏洞"", ""高"", ""疑似硬编码密钥/口令"", re.compile(r""(AKIA[0-9A-Z]{16}|SECRET_KEY\s*=|JWT_SECRET|PRIVATE_KEY|BEGIN\s+PRIVATE\s+KEY|password\s*=\s*['\""])"")),"
backend/app/__init__.py,32,代码质量,中,函数过长（84 行）：create_app,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def create_app(...):
backend/app/__init__.py,32,代码质量,中,圈复杂度偏高（≈22）：create_app,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def create_app(...):
backend/app/admin_v2/controllers.py,235,代码质量,中,函数过长（538 行）：register_admin_routes,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def register_admin_routes(...):
backend/app/admin_v2/controllers.py,235,代码质量,中,圈复杂度偏高（≈62）：register_admin_routes,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def register_admin_routes(...):
backend/app/admin_v2/controllers.py,657,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:657, backend/app/routes/user.py:101"
backend/app/admin_v2/controllers.py,658,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:658, backend/app/routes/user.py:102"
backend/app/admin_v2/controllers.py,659,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:659, backend/app/routes/user.py:103"
backend/app/admin_v2/controllers.py,660,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:660, backend/app/routes/user.py:104"
backend/app/admin_v2/controllers.py,661,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:661, backend/app/routes/user.py:105"
backend/app/admin_v2/controllers.py,662,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:662, backend/app/routes/user.py:106"
backend/app/admin_v2/controllers.py,663,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:663, backend/app/routes/user.py:107"
backend/app/admin_v2/controllers.py,664,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:664, backend/app/routes/user.py:108"
backend/app/admin_v2/controllers.py,665,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:665, backend/app/routes/user.py:109"
backend/app/admin_v2/controllers.py,666,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:666, backend/app/routes/user.py:110"
backend/app/admin_v2/controllers.py,667,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:667, backend/app/routes/user.py:111"
backend/app/admin_v2/daos/rbac_dao.py,68,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db[RbacDao.PERMS].find({}, projection={""_id"": 0}).sort(""name"", 1))"
backend/app/admin_v2/daos/rbac_dao.py,99,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db[RbacDao.ROLES].find().sort(""name"", 1))"
backend/app/admin_v2/daos/rbac_dao.py,153,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db[RbacDao.ROLES].find({""_id"": {""$in"": role_ids}}))"
backend/app/admin_v2/services/sales_service.py,155,代码质量,中,函数过长（81 行）：detail,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def detail(...):
backend/app/models/maintenance_model.py,56,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db[MaintenanceAppointment.COL].find(q, projection={""_id"": 1, ""scheduled_start"": 1, ""scheduled_end"": 1, ""status"": 1}))"
backend/app/models/maintenance_model.py,68,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db[MaintenanceAppointment.COL].find(q, projection={""_id"": 1, ""scheduled_start"": 1, ""scheduled_end"": 1, ""status"": 1}))"
backend/app/models/order_model.py,74,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db.orders.find({""user_id"": ObjectId(user_id)}))"
backend/app/models/order_model.py,87,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,return list(mongo.db.orders.find())
backend/app/models/product_model.py,56,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,return list(mongo.db.products.find())
backend/app/models/product_model.py,72,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db.products.find({""_id"": {""$in"": ids}}))"
backend/app/models/product_model.py,81,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db.products.find({""category"": category}))"
backend/app/models/product_model.py,117,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,items = list(mongo.db.products.find(query).sort(sort_spec).skip(skip).limit(page_size))
backend/app/models/product_model.py,146,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"return list(mongo.db.products.find(query).sort([(""created_at"", -1)]).limit(lim))"
